MD	GR	PHIE	PHI_ALT	DTS	DTCO	RHOB	WELL
2458.4877							Well_5
2458.6877							Well_5
2458.8877							Well_5
2459.0877							Well_5
2459.2877							Well_5
2459.4877							Well_5
2459.6877							Well_5
2459.8877							Well_5
2460.0877							Well_5
2460.2877							Well_5
2460.4877							Well_5
2460.6877							Well_5
2460.8877							Well_5
2461.0877							Well_5
2461.2877							Well_5
2461.4877							Well_5
2461.6877							Well_5
2461.8877							Well_5
2462.0877							Well_5
2462.2877							Well_5
2462.4877							Well_5
2462.6877							Well_5
2462.8877							Well_5
2463.0877							Well_5
2463.2877							Well_5
2463.4877							Well_5
2463.6877							Well_5
2463.8877							Well_5
2464.0877							Well_5
2464.2877							Well_5
2464.4877							Well_5
2464.6877							Well_5
2464.8877							Well_5
2465.0877							Well_5
2465.2877							Well_5
2465.4877							Well_5
2465.6877							Well_5
2465.8877							Well_5
2466.0877							Well_5
2466.2877							Well_5
2466.4877							Well_5
2466.6877							Well_5
2466.8877							Well_5
2467.0877							Well_5
2467.2877							Well_5
2467.4877							Well_5
2467.6877							Well_5
2467.8877							Well_5
2468.0877							Well_5
2468.2877							Well_5
2468.4877							Well_5
2468.6877							Well_5
2468.8877							Well_5
2469.0877							Well_5
2469.2877							Well_5
2469.4877							Well_5
2469.6877							Well_5
2469.8877							Well_5
2470.0877							Well_5
2470.2877							Well_5
2470.4877							Well_5
2470.6877							Well_5
2470.8877							Well_5
2471.0877							Well_5
2471.2877							Well_5
2471.4877							Well_5
2471.6877							Well_5
2471.8877							Well_5
2472.0877							Well_5
2472.2877							Well_5
2472.4877							Well_5
2472.6877							Well_5
2472.8877							Well_5
2473.0877							Well_5
2473.2877							Well_5
2473.4877							Well_5
2473.6877							Well_5
2473.8877							Well_5
2474.0877							Well_5
2474.2877							Well_5
2474.4877							Well_5
2474.6877							Well_5
2474.8877							Well_5
2475.0877							Well_5
2475.2877							Well_5
2475.4877							Well_5
2475.6877							Well_5
2475.8877							Well_5
2476.0877							Well_5
2476.2877							Well_5
2476.4877							Well_5
