MD	GR	RHOB	PHIE	DTCO	DTS	WELL
5648.4148	28.880495071	2.5379137993	0.0854210481	61.280521393	110.68019104	Well_6
5648.6148	32.426780701	2.5169653893	0.0802782252	63.811378479	112.5705719	Well_6
5648.8148	38.208320618	2.5406315327	0.0579878241	64.091995239	112.78818512	Well_6
5649.0148	38.832317352	2.5854036808	0.0411148891	61.652629852	111.43733215	Well_6
5649.2148	34.28175354	2.6137251854	0.0430461094	58.549354553	108.6749649	Well_6
5649.4148	32.801551819	2.6394898891	0.0510421991	56.61101532	105.47327423	Well_6
5649.6148	35.392147064	2.6663651466	0.0524978787	55.554031372	102.82320404	Well_6
5649.8148	38.115692139	2.6744732857	0.046546299	54.543964386	100.93258667	Well_6
5650.0148	37.893539429	2.6686549187	0.0384943932	53.806846619	100.03353119	Well_6
5650.2148	36.791538239	2.6557469368	0.0351225547	53.854217529	100.18526459	Well_6
5650.4148	35.670341492	2.6202535629	0.04083452	54.899002075	101.39752197	Well_6
5650.6148	31.887348175	2.5689148903	0.0528548919	56.612464905	103.13148499	Well_6
5650.8148	30.093822479	2.5389597416	0.0653572083	58.396366119	104.79303741	Well_6
5651.0148	35.971927643	2.5546450615	0.0629468486	59.39068985	105.91203308	Well_6
5651.2148	39.942638397	2.5813965797	0.0512835458	59.155849457	106.17655182	Well_6
5651.4148	36.983463287	2.579744339	0.0455585383	58.35766983	105.89239502	Well_6
5651.6148	30.434484482	2.5672779083	0.0545095056	57.786758423	105.52507782	Well_6
5651.8148	25.918895721	2.5718102455	0.069473736	57.642223358	105.42396545	Well_6
5652.0148	26.088064194	2.5859353542	0.0735029355	57.597625732	105.47463226	Well_6
5652.2148	28.12304306	2.599083662	0.0702900365	57.648956299	105.66125488	Well_6
5652.4148	29.039606094	2.593998909	0.0754742697	57.90586853	106.08790588	Well_6
5652.6148	28.463979721	2.5783631802	0.0891322345	58.047691345	106.56956482	Well_6
5652.8148	27.017002106	2.5801715851	0.1004007906	57.819583893	106.77825165	Well_6
5653.0148	27.795856476	2.5998027325	0.0931231529	57.374229431	106.52893066	Well_6
5653.2148	29.575450897	2.6100826263	0.0823997781	57.027599335	105.98931122	Well_6
5653.4148	30.013868332	2.615470171	0.0772176832	56.751964569	105.32542419	Well_6
5653.6148	29.599155426	2.6212618351	0.0771878138	56.500026703	104.67448425	Well_6
5653.8148	29.480066299	2.6215896606	0.0739570186	56.423259735	104.31615448	Well_6
5654.0148	30.066221237	2.6156260967	0.0626605302	56.629341125	104.3276062	Well_6
5654.2148	30.302051544	2.6084914207	0.0561974905	56.983844757	104.55128479	Well_6
5654.4148	30.003808975	2.6007685661	0.0576039143	57.236042023	104.82041168	Well_6
5654.6148	29.57664299	2.5934188366	0.0654253662	57.401187897	105.16225433	Well_6
5654.8148	26.826938629	2.5891969204	0.0773466155	57.64018631	105.58692932	Well_6
5655.0148	23.26266861	2.5817086697	0.0783446133	58.078136444	105.83347321	Well_6
5655.2148	22.508422852	2.5722520351	0.074320443	58.519577026	105.38964844	Well_6
5655.4148	25.392982483	2.5662286282	0.0736450553	58.560909271	104.53578949	Well_6
5655.6148	27.895032883	2.5611333847	0.0820076689	57.809967041	103.57173157	Well_6
5655.8148	26.596075058	2.5570189953	0.0848857313	56.688789368	102.87588501	Well_6
5656.0148	24.288597107	2.5689623356	0.0795011148	55.848072052	102.49452209	Well_6
5656.2148	25.101919174	2.5980985165	0.0723865405	55.616664886	102.2495575	Well_6
5656.4148	28.8164711	2.6177024841	0.0719314292	55.414505005	101.97706604	Well_6
5656.6148	32.260971069	2.6240954399	0.0779488832	54.915367126	101.73799133	Well_6
5656.8148	33.072090149	2.6291344166	0.0764866322	54.55663681	101.6553421	Well_6
5657.0148	32.058330536	2.6377022266	0.0690508857	54.907043457	101.58748627	Well_6
5657.2148	30.21922493	2.6328783035	0.0623922087	55.664104462	101.24755859	Well_6
5657.4148	29.644701004	2.6114544868	0.0614851527	55.963687897	100.46835327	Well_6
5657.6148	30.033912659	2.6026134491	0.0661466792	55.269031525	99.555740356	Well_6
5657.8148	30.867826462	2.6124668121	0.0735824704	53.983783722	98.971954346	Well_6
5658.0148	32.979103088	2.6334750652	0.0753147379	52.83846283	98.879470825	Well_6
5658.2148	35.654258728	2.6513621807	0.0626818985	52.49288559	99.160957336	Well_6
5658.4148	36.713993073	2.6533055305	0.0459928773	52.791927338	99.607254028	Well_6
5658.6148	35.755245209	2.6533460617	0.0400166996	53.254943848	99.9945755	Well_6
5658.8148	34.646434784	2.6548740864	0.0480030924	53.379905701	100.09224701	Well_6
5659.0148	34.323337555	2.6492061615	0.0555418544	53.264057159	100.02771759	Well_6
5659.2148	34.552845001	2.6436607838	0.0526309162	53.251987457	100.0506134	Well_6
5659.4148	34.302391052	2.638279438	0.0544750094	53.534152985	100.39646149	Well_6
