MD	GR	DTCO	PHIE	RHOB	DTS	WELL
5239.394	39.519001007	76.805892944	0.2196979076	2.3231236935	140.0007019	Well_9
5239.594	36.00428772	77.234657288	0.2182742804	2.3171513081	140.61090088	Well_9
5239.794	30.869859695	78.421829224	0.2136667222	2.338483572	140.25100708	Well_9
5239.994	30.699317932	79.238899231	0.2109930664	2.3494799137	140.2250061	Well_9
5240.194	31.934869766	79.259429932	0.2108381987	2.3197052479	141.98779297	Well_9
5240.394	32.645606995	78.711402893	0.2128775865	2.2952432632	143.31350708	Well_9
5240.594	33.676818848	77.878356934	0.2176114172	2.3182218075	143.88720703	Well_9
5240.794	34.158294678	78.094146729	0.2207706422	2.2924439907	143.63110352	Well_9
5240.994	37.422985077	79.63697052	0.2233199179	2.2487528324	144.01130676	Well_9
5241.194	41.054916382	81.798416138	0.2303064167	2.2593107224	144.6875	Well_9
5241.394	42.664455414	82.844482422	0.2330714911	2.2755973339	144.88299561	Well_9
5241.594	43.288856506	82.708946228	0.2268276662	2.2916488647	145.6257019	Well_9
5241.794	44.785686493	81.5234375	0.2235186994	2.3034293652	146.40609741	Well_9
5241.994	46.926761627	80.446594238	0.2270326763	2.2873373032	146.7507019	Well_9
5242.194	49.16501236	79.686164856	0.2321619391	2.2749047279	146.8394928	Well_9
5242.394	54.194675446	79.097496033	0.2363444567	2.2837183475	146.66360474	Well_9
5242.594	56.880371094	78.69102478	0.2342912406	2.2880718708	145.90519714	Well_9
5242.794	53.655799866	79.428733826	0.2331256121	2.2527606487	145.40859985	Well_9
5242.994	47.207870483	81.539505005	0.2340339273	2.2202794552	145.0375061	Well_9
5243.194	42.899112701	84.263092041	0.2314641923	2.2399361134	145.29359436	Well_9
5243.394	42.597518921	85.972732544	0.2279416174	2.286056757	148.54060364	Well_9
5243.594	42.07208252	87.89944458	0.2290905565	2.2887020111	152.06770325	Well_9
5243.794	41.401016235	88.618682861	0.2352573574	2.2246282101	155.73590088	Well_9
5243.994	42.634269714	87.176338196	0.2442229241	2.1840560436	158.20799255	Well_9
5244.194	44.69764328	85.519729614	0.2492732406	2.1881110668	159.1269989	Well_9
5244.394	47.034648895	84.197174072	0.2455458492	2.2275190353	158.39709473	Well_9
5244.594	48.683425903	82.555801392	0.2439191639	2.2588882446	156.6006012	Well_9
5244.794	48.050518036	81.16822052	0.2442326099	2.2399196625	154.63369751	Well_9
5244.994	48.882465363	80.16796875	0.2413855642	2.2097148895	151.31390381	Well_9
5245.194	51.667598724	79.135536194	0.2403186709	2.224656105	147.51179504	Well_9
5245.394	54.588573456	77.968589783	0.2360344678	2.2763388157	143.58230591	Well_9
5245.594	57.020950317	76.981010437	0.2255768627	2.3314805031	140.66119385	Well_9
5245.794	58.198783875	77.449996948	0.2213511616	2.3283574581	139.82229614	Well_9
5245.994	58.748497009	78.469581604	0.2253944427	2.273450613	140.68739319	Well_9
5246.194	59.277477264	79.456512451	0.2286685556	2.2448318005	141.75250244	Well_9
5246.394	59.966651917	80.60647583	0.2285005152	2.2669920921	144.0861969	Well_9
5246.594	57.317337036	81.571586609	0.225249514	2.2625749111	145.50579834	Well_9
5246.794	52.787216187	82.04825592	0.2226040959	2.2414319515	146.60969543	Well_9
5246.994	49.057926178	82.172019958	0.2197336257	2.2509315014	148.2940979	Well_9
5247.194	46.604179382	81.364814758	0.2103724331	2.2861847878	148.42829895	Well_9
5247.394	43.983528137	78.465888977	0.1935980618	2.3539319038	146.13360596	Well_9
5247.594	37.672168732	73.825271606	0.1710721552	2.4218809605	142.7684021	Well_9
5247.794	33.530899048	70.652992249	0.1491975039	2.4355254173	137.001297	Well_9
5247.994	33.834373474	68.326293945	0.1312244087	2.4569165707	129.41290283	Well_9
5248.194	34.764759064	66.714889526	0.1183169931	2.4929306507	123.49089813	Well_9
5248.394	33.201770782	66.634246826	0.1076678783	2.4806463718	118.11180115	Well_9
5248.594	29.566576004	66.731376648	0.1001200601	2.4044270515	114.65499878	Well_9
5248.794	28.558563232	66.572883606	0.0969172195	2.3556368351	113.96910095	Well_9
5248.994	32.345989227	66.869812012	0.1082264036	2.444747448	114.9367981	Well_9
5249.194	37.063083649	68.194869995	0.135474965	2.5046482086	116.68769836	Well_9
5249.394	44.519584656	70.840591431	0.1681348085	2.4667284489	119.042099	Well_9
5249.594	54.679145813	73.590354919	0.197951749	2.3996760845	123.10990143	Well_9
5249.794	59.410518646	76.01675415	0.2169390917	2.3596053123	127.94529724	Well_9
5249.994	56.129154205	77.411911011	0.2285942435	2.3409543037	133.13580322	Well_9
5250.194	51.192714691	77.531806946	0.2361440212	2.2965335846	137.97070313	Well_9
5250.394	49.557743073	78.192985535	0.2407851815	2.2563493252	142.834198	Well_9
5250.594	46.315177917	80.148834229	0.2464971095	2.2623181343	146.32119751	Well_9
5250.794	44.511623383	81.327125549	0.2505884767	2.2662773132	149.44740295	Well_9
5250.994	45.19475174	80.830535889	0.2475994676	2.2439229488	151.64109802	Well_9
5251.194	44.407714844	80.416603088	0.2433340847	2.2346999645	152.26019287	Well_9
5251.394	41.828437805	80.022911072	0.2419244349	2.2403020859	153.06640625	Well_9
5251.594	38.18019104	79.921112061	0.2383439839	2.255651474	153.52259827	Well_9
5251.794	34.264087677	79.948799133	0.2298073769	2.2741684914	153.07429504	Well_9
5251.994	31.313539505	79.724601746	0.2199136019	2.2836949825	151.47329712	Well_9
5252.194	31.5064888	79.010810852	0.2120945007	2.3065378666	149.72039795	Well_9
5252.394	34.001350403	77.800071716	0.2038015574	2.3470771313	147.85670471	Well_9
5252.594	37.480369568	76.1039505	0.1926316917	2.3669512272	145.28739929	Well_9
5252.794	42.139965057	73.750663757	0.1840634942	2.3797991276	142.06599426	Well_9
5252.994	45.28591156	72.036979675	0.1838230044	2.3984513283	137.94639587	Well_9
5253.194	45.360393524	71.004196167	0.186285302	2.3840744495	135.022995	Well_9
5253.394	43.562099457	71.313995361	0.1908152252	2.3649835587	131.66360474	Well_9
5253.594	42.137321472	72.142799377	0.1955401003	2.3735983372	130.03160095	Well_9
5253.794	39.787929535	72.506347656	0.1923795938	2.3535814285	128.48109436	Well_9
5253.994	38.262645721	72.451705933	0.1852151901	2.3342511654	127.48819733	Well_9
5254.194	36.826019287	72.155426025	0.1815655679	2.363909483	126.97720337	Well_9
5254.394	30.127357483	72.449493408	0.1791604012	2.385610342	126.87239838	Well_9
5254.594	23.594673157	73.364006042	0.1789007336	2.3689129353	127.52220154	Well_9
5254.794	19.478193283	73.885917664	0.184070453	2.3491306305	128.79820251	Well_9
5254.994	17.273488998	74.38079834	0.1869707257	2.3541741371	130.53030396	Well_9
5255.194	17.305734634	75.199966431	0.1898136288	2.3534088135	132.67849731	Well_9
5255.394	17.554174423	75.852203369	0.197314322	2.3432817459	135.12080383	Well_9
5255.594	18.754987717	76.890922546	0.2061374187	2.3333082199	137.49000549	Well_9
5255.794	22.626832962	78.094360352	0.2143131346	2.3137128353	140.36079407	Well_9
5255.994	27.962371826	78.826164246	0.2196368575	2.2887046337	143.00990295	Well_9
5256.194	31.746328354	79.228050232	0.2158761621	2.2808558941	144.92080688	Well_9
5256.394	32.764427185	78.751731873	0.2030927092	2.3075253963	145.3934021	Well_9
5256.594	30.538713455	77.701538086	0.1882616729	2.3628630638	144.00630188	Well_9
5256.794	26.664003372	76.509346008	0.1822443157	2.3744955063	141.45199585	Well_9
5256.994	21.170934677	76.126052856	0.1868805736	2.3603365421	139.13510132	Well_9
5257.194	16.281356812	76.040214539	0.192720741	2.3608858585	136.89720154	Well_9
5257.394	17.342271805	75.466468811	0.192148596	2.3609719276	135.87869263	Well_9
5257.594	19.238435745	74.727394104	0.1895971596	2.365606308	136.60560608	Well_9
5257.794	18.534122467	74.883781433	0.1869150549	2.3725874424	136.75559998	Well_9
5257.994	16.559831619	75.310012817	0.1849430352	2.3755269051	136.48930359	Well_9
5258.194	17.062595367	75.394683838	0.1800772399	2.3702540398	136.4671936	Well_9
5258.394	19.861656189	75.183227539	0.1751747429	2.369125843	136.57189941	Well_9
5258.594	24.147756577	74.327926636	0.1702008694	2.3915193081	136.3421936	Well_9
5258.794	29.549488068	73.511489868	0.1668830663	2.4154810905	135.54440308	Well_9
5258.994	34.405788422	72.94052887	0.163029626	2.4068100452	133.43139648	Well_9
5259.194	34.717182159	72.62008667	0.162398532	2.3745732307	130.60159302	Well_9
5259.394	29.541660309	72.900360107	0.1631693393	2.3874995708	128.331604	Well_9
5259.594	24.179710388	72.893341064	0.1599995345	2.4052047729	126.04139709	Well_9
5259.794	19.864011765	72.064224243	0.1608798802	2.4039204121	124.67649841	Well_9
5259.994	17.949329376	70.406066895	0.165751949	2.3992645741	123.69480133	Well_9
5260.194	16.711698532	69.452529907	0.1725458056	2.4146976471	123.08249664	Well_9
5260.394	15.616809845	68.801589966	0.1797010601	2.4286422729	123.60820007	Well_9
5260.594	14.445333481	69.227264404	0.1834563315	2.3950333595	123.61920166	Well_9
5260.794	13.4617939	70.766639709	0.1883386374	2.3593299389	125.04810333	Well_9
5260.994	13.746032715	72.646331787	0.1944584846	2.3562655449	126.64080048	Well_9
5261.194	14.070051193	73.099822998	0.1976361573	2.3587350845	128.66600037	Well_9
