MD	GR	RHOB	PHIE	DTCO	PHI_ALT	DTS	WELL
2492.2698							Well_10
2492.4698							Well_10
2492.6698							Well_10
2492.8698							Well_10
2493.0698							Well_10
2493.2698							Well_10
2493.4698							Well_10
2493.6698							Well_10
2493.8698							Well_10
2494.0698							Well_10
2494.2698							Well_10
2494.4698							Well_10
2494.6698							Well_10
2494.8698							Well_10
2495.0698							Well_10
2495.2698							Well_10
2495.4698							Well_10
2495.6698							Well_10
2495.8698							Well_10
2496.0698							Well_10
2496.2698							Well_10
2496.4698							Well_10
2496.6698							Well_10
2496.8698							Well_10
2497.0698							Well_10
2497.2698							Well_10
2497.4698							Well_10
2497.6698							Well_10
2497.8698							Well_10
2498.0698							Well_10
2498.2698							Well_10
2498.4698							Well_10
2498.6698							Well_10
2498.8698							Well_10
2499.0698							Well_10
2499.2698							Well_10
2499.4698							Well_10
2499.6698							Well_10
2499.8698							Well_10
2500.0698							Well_10
2500.2698							Well_10
2500.4698							Well_10
2500.6698							Well_10
2500.8698							Well_10
2501.0698							Well_10
2501.2698							Well_10
2501.4698							Well_10
2501.6698							Well_10
2501.8698							Well_10
2502.0698							Well_10
2502.2698							Well_10
2502.4698							Well_10
2502.6698							Well_10
2502.8698							Well_10
2503.0698							Well_10
2503.2698							Well_10
2503.4698							Well_10
2503.6698							Well_10
2503.8698							Well_10
2504.0698							Well_10
2504.2698							Well_10
2504.4698							Well_10
2504.6698							Well_10
2504.8698							Well_10
2505.0698							Well_10
2505.2698							Well_10
2505.4698							Well_10
2505.6698							Well_10
2505.8698							Well_10
2506.0698							Well_10
2506.2698							Well_10
2506.4698							Well_10
2506.6698							Well_10
2506.8698							Well_10
2507.0698							Well_10
2507.2698							Well_10
2507.4698							Well_10
2507.6698							Well_10
2507.8698							Well_10
2508.0698							Well_10
2508.2698							Well_10
2508.4698							Well_10
2508.6698							Well_10
2508.8698							Well_10
2509.0698							Well_10
2509.2698							Well_10
2509.4698							Well_10
2509.6698							Well_10
2509.8698							Well_10
2510.0698							Well_10
2510.2698							Well_10
2510.4698							Well_10
2510.6698							Well_10
2510.8698							Well_10
2511.0698							Well_10
2511.2698							Well_10
2511.4698							Well_10
2511.6698							Well_10
2511.8698							Well_10
2512.0698							Well_10
2512.2698							Well_10
2512.4698							Well_10
2512.6698							Well_10
2512.8698							Well_10
2513.0698							Well_10
2513.2698							Well_10
2513.4698							Well_10
2513.6698							Well_10
2513.8698							Well_10
2514.0698							Well_10
2514.2698							Well_10
2514.4698							Well_10
2514.6698							Well_10
2514.8698							Well_10
2515.0698							Well_10
2515.2698							Well_10
2515.4698							Well_10
2515.6698							Well_10
2515.8698							Well_10
2516.0698							Well_10
2516.2698							Well_10
2516.4698							Well_10
2516.6698							Well_10
2516.8698							Well_10
2517.0698							Well_10
2517.2698							Well_10
2517.4698							Well_10
2517.6698							Well_10
2517.8698							Well_10
2518.0698							Well_10
2518.2698							Well_10
2518.4698							Well_10
2518.6698							Well_10
2518.8698							Well_10
2519.0698							Well_10
2519.2698							Well_10
2519.4698							Well_10
2519.6698							Well_10
2519.8698							Well_10
2520.0698							Well_10
2520.2698							Well_10
2520.4698							Well_10
2520.6698							Well_10
2520.8698							Well_10
2521.0698							Well_10
2521.2698							Well_10
2521.4698							Well_10
2521.6698							Well_10
2521.8698							Well_10
2522.0698							Well_10
2522.2698							Well_10
2522.4698							Well_10
2522.6698							Well_10
2522.8698							Well_10
2523.0698							Well_10
2523.2698							Well_10
2523.4698							Well_10
2523.6698							Well_10
2523.8698							Well_10
2524.0698							Well_10
2524.2698							Well_10
2524.4698							Well_10
2524.6698							Well_10
2524.8698							Well_10
2525.0698							Well_10
2525.2698							Well_10
2525.4698							Well_10
2525.6698							Well_10
2525.8698							Well_10
2526.0698							Well_10
2526.2698							Well_10
2526.4698							Well_10
2526.6698							Well_10
2526.8698							Well_10
2527.0698							Well_10
2527.2698							Well_10
2527.4698							Well_10
2527.6698							Well_10
2527.8698							Well_10
2528.0698							Well_10
2528.2698							Well_10
2528.4698							Well_10
2528.6698							Well_10
2528.8698							Well_10
2529.0698							Well_10
2529.2698							Well_10
2529.4698							Well_10
2529.6698							Well_10
2529.8698							Well_10
2530.0698							Well_10
2530.2698							Well_10
2530.4698							Well_10
2530.6698							Well_10
2530.8698							Well_10
2531.0698							Well_10
2531.2698							Well_10
2531.4698							Well_10
2531.6698							Well_10
2531.8698							Well_10
2532.0698							Well_10
2532.2698							Well_10
2532.4698							Well_10
2532.6698							Well_10
2532.8698							Well_10
2533.0698							Well_10
2533.2698							Well_10
2533.4698							Well_10
2533.6698							Well_10
2533.8698							Well_10
2534.0698							Well_10
2534.2698							Well_10
2534.4698							Well_10
2534.6698							Well_10
2534.8698							Well_10
2535.0698							Well_10
2535.2698							Well_10
2535.4698							Well_10
2535.6698							Well_10
2535.8698							Well_10
2536.0698							Well_10
2536.2698							Well_10
2536.4698							Well_10
2536.6698							Well_10
2536.8698							Well_10
2537.0698							Well_10
2537.2698							Well_10
2537.4698							Well_10
2537.6698							Well_10
2537.8698							Well_10
2538.0698							Well_10
2538.2698							Well_10
2538.4698							Well_10
2538.6698							Well_10
2538.8698							Well_10
2539.0698							Well_10
2539.2698							Well_10
2539.4698							Well_10
2539.6698							Well_10
2539.8698							Well_10
2540.0698							Well_10
2540.2698							Well_10
2540.4698							Well_10
2540.6698							Well_10
2540.8698							Well_10
2541.0698							Well_10
2541.2698							Well_10
2541.4698							Well_10
2541.6698							Well_10
2541.8698							Well_10
2542.0698							Well_10
2542.2698							Well_10
2542.4698							Well_10
2542.6698							Well_10
2542.8698							Well_10
2543.0698							Well_10
2543.2698							Well_10
2543.4698							Well_10
2543.6698							Well_10
2543.8698							Well_10
2544.0698							Well_10
2544.2698							Well_10
2544.4698							Well_10
2544.6698							Well_10
2544.8698							Well_10
2545.0698							Well_10
2545.2698							Well_10
2545.4698							Well_10
2545.6698							Well_10
2545.8698							Well_10
2546.0698							Well_10
2546.2698							Well_10
2546.4698							Well_10
2546.6698							Well_10
2546.8698							Well_10
2547.0698							Well_10
2547.2698							Well_10
2547.4698							Well_10
2547.6698							Well_10
2547.8698							Well_10
2548.0698							Well_10
2548.2698							Well_10
2548.4698							Well_10
2548.6698							Well_10
2548.8698							Well_10
2549.0698							Well_10
2549.2698							Well_10
2549.4698							Well_10
2549.6698							Well_10
2549.8698							Well_10
2550.0698							Well_10
2550.2698							Well_10
2550.4698							Well_10
2550.6698							Well_10
2550.8698							Well_10
2551.0698							Well_10
2551.2698							Well_10
2551.4698							Well_10
2551.6698							Well_10
2551.8698							Well_10
2552.0698							Well_10
2552.2698							Well_10
2552.4698							Well_10
2552.6698							Well_10
2552.8698							Well_10
2553.0698							Well_10
2553.2698							Well_10
2553.4698							Well_10
2553.6698							Well_10
2553.8698							Well_10
2554.0698							Well_10
2554.2698							Well_10
2554.4698							Well_10
2554.6698							Well_10
2554.8698							Well_10
2555.0698							Well_10
2555.2698							Well_10
2555.4698							Well_10
2555.6698							Well_10
2555.8698							Well_10
2556.0698							Well_10
2556.2698							Well_10
2556.4698							Well_10
2556.6698							Well_10
2556.8698							Well_10
2557.0698							Well_10
2557.2698							Well_10
2557.4698							Well_10
2557.6698							Well_10
2557.8698							Well_10
2558.0698							Well_10
2558.2698							Well_10
2558.4698							Well_10
2558.6698							Well_10
2558.8698							Well_10
2559.0698							Well_10
2559.2698							Well_10
2559.4698							Well_10
2559.6698							Well_10
2559.8698							Well_10
2560.0698							Well_10
2560.2698							Well_10
2560.4698							Well_10
2560.6698							Well_10
2560.8698							Well_10
2561.0698							Well_10
2561.2698							Well_10
2561.4698							Well_10
2561.6698							Well_10
2561.8698							Well_10
2562.0698							Well_10
2562.2698							Well_10
2562.4698							Well_10
2562.6698							Well_10
2562.8698							Well_10
2563.0698							Well_10
2563.2698							Well_10
2563.4698							Well_10
2563.6698							Well_10
2563.8698							Well_10
2564.0698							Well_10
2564.2698							Well_10
2564.4698							Well_10
2564.6698							Well_10
2564.8698							Well_10
2565.0698							Well_10
2565.2698							Well_10
2565.4698							Well_10
2565.6698							Well_10
2565.8698							Well_10
2566.0698							Well_10
2566.2698							Well_10
2566.4698							Well_10
2566.6698							Well_10
2566.8698							Well_10
2567.0698							Well_10
2567.2698							Well_10
2567.4698							Well_10
2567.6698							Well_10
2567.8698							Well_10
2568.0698							Well_10
2568.2698							Well_10
2568.4698							Well_10
2568.6698							Well_10
2568.8698							Well_10
2569.0698							Well_10
2569.2698							Well_10
2569.4698							Well_10
2569.6698							Well_10
2569.8698							Well_10
2570.0698							Well_10
2570.2698							Well_10
2570.4698							Well_10
2570.6698							Well_10
2570.8698							Well_10
2571.0698							Well_10
2571.2698							Well_10
2571.4698							Well_10
2571.6698							Well_10
2571.8698							Well_10
2572.0698							Well_10
2572.2698							Well_10
2572.4698							Well_10
2572.6698							Well_10
2572.8698							Well_10
2573.0698							Well_10
2573.2698							Well_10
2573.4698							Well_10
2573.6698							Well_10
2573.8698							Well_10
2574.0698							Well_10
2574.2698							Well_10
2574.4698							Well_10
2574.6698							Well_10
2574.8698							Well_10
2575.0698							Well_10
2575.2698							Well_10
2575.4698							Well_10
2575.6698							Well_10
2575.8698							Well_10
2576.0698							Well_10
2576.2698							Well_10
2576.4698							Well_10
2576.6698							Well_10
2576.8698							Well_10
2577.0698							Well_10
2577.2698							Well_10
2577.4698							Well_10
2577.6698							Well_10
2577.8698							Well_10
2578.0698							Well_10
2578.2698							Well_10
2578.4698							Well_10
2578.6698							Well_10
2578.8698							Well_10
2579.0698							Well_10
2579.2698							Well_10
2579.4698							Well_10
2579.6698							Well_10
2579.8698							Well_10
2580.0698							Well_10
2580.2698							Well_10
2580.4698							Well_10
2580.6698							Well_10
2580.8698							Well_10
2581.0698							Well_10
2581.2698							Well_10
2581.4698							Well_10
2581.6698							Well_10
2581.8698							Well_10
2582.0698							Well_10
2582.2698							Well_10
2582.4698							Well_10
2582.6698							Well_10
2582.8698							Well_10
2583.0698							Well_10
2583.2698							Well_10
2583.4698							Well_10
2583.6698							Well_10
2583.8698							Well_10
2584.0698							Well_10
2584.2698							Well_10
2584.4698							Well_10
2584.6698							Well_10
2584.8698							Well_10
2585.0698							Well_10
2585.2698							Well_10
2585.4698							Well_10
2585.6698							Well_10
2585.8698							Well_10
2586.0698							Well_10
2586.2698							Well_10
2586.4698							Well_10
2586.6698							Well_10
2586.8698							Well_10
2587.0698							Well_10
2587.2698							Well_10
2587.4698							Well_10
2587.6698							Well_10
2587.8698							Well_10
2588.0698							Well_10
2588.2698							Well_10
2588.4698							Well_10
2588.6698							Well_10
2588.8698							Well_10
2589.0698							Well_10
2589.2698							Well_10
2589.4698							Well_10
2589.6698							Well_10
2589.8698							Well_10
2590.0698							Well_10
2590.2698							Well_10
2590.4698							Well_10
2590.6698							Well_10
2590.8698							Well_10
2591.0698							Well_10
2591.2698							Well_10
2591.4698							Well_10
2591.6698							Well_10
2591.8698							Well_10
2592.0698							Well_10
2592.2698							Well_10
2592.4698							Well_10
2592.6698							Well_10
2592.8698							Well_10
2593.0698							Well_10
2593.2698							Well_10
2593.4698							Well_10
2593.6698							Well_10
2593.8698							Well_10
2594.0698							Well_10
2594.2698							Well_10
2594.4698							Well_10
2594.6698							Well_10
2594.8698							Well_10
2595.0698							Well_10
2595.2698							Well_10
2595.4698							Well_10
2595.6698							Well_10
2595.8698							Well_10
2596.0698							Well_10
2596.2698							Well_10
2596.4698							Well_10
2596.6698							Well_10
2596.8698							Well_10
2597.0698							Well_10
2597.2698							Well_10
2597.4698							Well_10
2597.6698							Well_10
2597.8698							Well_10
2598.0698							Well_10
2598.2698							Well_10
2598.4698							Well_10
2598.6698							Well_10
2598.8698							Well_10
2599.0698							Well_10
2599.2698							Well_10
2599.4698							Well_10
2599.6698							Well_10
2599.8698							Well_10
2600.0698							Well_10
2600.2698							Well_10
2600.4698							Well_10
2600.6698							Well_10
2600.8698							Well_10
2601.0698							Well_10
2601.2698							Well_10
2601.4698							Well_10
2601.6698							Well_10
2601.8698							Well_10
2602.0698							Well_10
2602.2698							Well_10
2602.4698							Well_10
2602.6698							Well_10
2602.8698							Well_10
2603.0698							Well_10
2603.2698							Well_10
2603.4698							Well_10
2603.6698							Well_10
2603.8698							Well_10
2604.0698							Well_10
2604.2698							Well_10
2604.4698							Well_10
2604.6698							Well_10
2604.8698							Well_10
2605.0698							Well_10
2605.2698							Well_10
2605.4698							Well_10
2605.6698							Well_10
2605.8698							Well_10
2606.0698							Well_10
2606.2698							Well_10
2606.4698							Well_10
2606.6698							Well_10
2606.8698							Well_10
2607.0698							Well_10
2607.2698							Well_10
2607.4698							Well_10
2607.6698							Well_10
2607.8698							Well_10
2608.0698							Well_10
2608.2698							Well_10
2608.4698							Well_10
2608.6698							Well_10
2608.8698							Well_10
2609.0698							Well_10
2609.2698							Well_10
2609.4698							Well_10
2609.6698							Well_10
2609.8698							Well_10
2610.0698							Well_10
2610.2698							Well_10
2610.4698							Well_10
2610.6698							Well_10
2610.8698							Well_10
2611.0698							Well_10
2611.2698							Well_10
2611.4698							Well_10
2611.6698							Well_10
2611.8698							Well_10
2612.0698							Well_10
2612.2698							Well_10
2612.4698							Well_10
2612.6698							Well_10
2612.8698							Well_10
2613.0698							Well_10
2613.2698							Well_10
2613.4698							Well_10
2613.6698							Well_10
2613.8698							Well_10
2614.0698							Well_10
2614.2698							Well_10
2614.4698							Well_10
2614.6698							Well_10
2614.8698							Well_10
2615.0698							Well_10
2615.2698							Well_10
2615.4698							Well_10
2615.6698							Well_10
2615.8698							Well_10
2616.0698							Well_10
2616.2698							Well_10
2616.4698							Well_10
2616.6698							Well_10
2616.8698							Well_10
2617.0698							Well_10
2617.2698							Well_10
2617.4698							Well_10
2617.6698							Well_10
2617.8698							Well_10
2618.0698							Well_10
2618.2698							Well_10
2618.4698							Well_10
2618.6698							Well_10
2618.8698							Well_10
2619.0698							Well_10
2619.2698							Well_10
2619.4698							Well_10
2619.6698							Well_10
2619.8698							Well_10
2620.0698							Well_10
2620.2698							Well_10
2620.4698							Well_10
2620.6698							Well_10
2620.8698							Well_10
2621.0698							Well_10
2621.2698							Well_10
2621.4698							Well_10
2621.6698							Well_10
2621.8698							Well_10
2622.0698							Well_10
2622.2698							Well_10
2622.4698							Well_10
2622.6698							Well_10
2622.8698							Well_10
2623.0698							Well_10
2623.2698							Well_10
2623.4698							Well_10
2623.6698							Well_10
2623.8698							Well_10
2624.0698							Well_10
2624.2698							Well_10
2624.4698							Well_10
2624.6698							Well_10
2624.8698							Well_10
2625.0698							Well_10
2625.2698							Well_10
2625.4698							Well_10
2625.6698							Well_10
2625.8698							Well_10
2626.0698							Well_10
2626.2698							Well_10
2626.4698							Well_10
2626.6698							Well_10
2626.8698							Well_10
2627.0698							Well_10
2627.2698							Well_10
2627.4698							Well_10
2627.6698							Well_10
2627.8698							Well_10
2628.0698							Well_10
2628.2698							Well_10
2628.4698							Well_10
2628.6698							Well_10
2628.8698							Well_10
2629.0698							Well_10
2629.2698							Well_10
2629.4698							Well_10
2629.6698							Well_10
2629.8698							Well_10
2630.0698							Well_10
2630.2698							Well_10
2630.4698							Well_10
2630.6698							Well_10
2630.8698							Well_10
2631.0698							Well_10
2631.2698							Well_10
2631.4698							Well_10
2631.6698							Well_10
2631.8698							Well_10
2632.0698							Well_10
2632.2698							Well_10
2632.4698							Well_10
2632.6698							Well_10
2632.8698							Well_10
2633.0698							Well_10
2633.2698							Well_10
2633.4698							Well_10
2633.6698							Well_10
2633.8698							Well_10
2634.0698							Well_10
2634.2698							Well_10
2634.4698							Well_10
2634.6698							Well_10
2634.8698							Well_10
2635.0698							Well_10
2635.2698							Well_10
2635.4698							Well_10
2635.6698							Well_10
2635.8698							Well_10
2636.0698							Well_10
2636.2698							Well_10
2636.4698							Well_10
2636.6698							Well_10
2636.8698							Well_10
2637.0698							Well_10
2637.2698							Well_10
2637.4698							Well_10
2637.6698							Well_10
2637.8698							Well_10
2638.0698							Well_10
2638.2698							Well_10
2638.4698							Well_10
2638.6698							Well_10
2638.8698							Well_10
