MD	PHIE	DTCO	GR	RHOB	PHI_ALT	DTS	WELL
2445.6908							Well_3
2445.8908							Well_3
2446.0908							Well_3
2446.2908							Well_3
2446.4908							Well_3
2446.6908							Well_3
2446.8908							Well_3
2447.0908							Well_3
2447.2908							Well_3
2447.4908							Well_3
2447.6908							Well_3
2447.8908							Well_3
2448.0908							Well_3
2448.2908							Well_3
2448.4908							Well_3
2448.6908							Well_3
2448.8908							Well_3
2449.0908							Well_3
2449.2908							Well_3
2449.4908							Well_3
2449.6908							Well_3
2449.8908							Well_3
2450.0908							Well_3
2450.2908							Well_3
2450.4908							Well_3
2450.6908							Well_3
2450.8908							Well_3
2451.0908							Well_3
2451.2908							Well_3
2451.4908							Well_3
2451.6908							Well_3
2451.8908							Well_3
2452.0908							Well_3
2452.2908							Well_3
2452.4908							Well_3
2452.6908							Well_3
2452.8908							Well_3
2453.0908							Well_3
2453.2908							Well_3
2453.4908							Well_3
2453.6908							Well_3
2453.8908							Well_3
2454.0908							Well_3
2454.2908							Well_3
2454.4908							Well_3
2454.6908							Well_3
2454.8908							Well_3
2455.0908							Well_3
2455.2908							Well_3
2455.4908							Well_3
2455.6908							Well_3
2455.8908							Well_3
2456.0908							Well_3
2456.2908							Well_3
2456.4908							Well_3
2456.6908							Well_3
2456.8908							Well_3
2457.0908							Well_3
2457.2908							Well_3
2457.4908							Well_3
2457.6908							Well_3
2457.8908							Well_3
2458.0908							Well_3
2458.2908							Well_3
2458.4908							Well_3
2458.6908							Well_3
2458.8908							Well_3
2459.0908							Well_3
2459.2908							Well_3
2459.4908							Well_3
2459.6908							Well_3
2459.8908							Well_3
2460.0908							Well_3
2460.2908							Well_3
2460.4908							Well_3
2460.6908							Well_3
2460.8908							Well_3
2461.0908							Well_3
2461.2908							Well_3
2461.4908							Well_3
2461.6908							Well_3
2461.8908							Well_3
2462.0908							Well_3
2462.2908							Well_3
2462.4908							Well_3
2462.6908							Well_3
2462.8908							Well_3
2463.0908							Well_3
2463.2908							Well_3
2463.4908							Well_3
2463.6908							Well_3
2463.8908							Well_3
2464.0908							Well_3
2464.2908							Well_3
2464.4908							Well_3
2464.6908							Well_3
2464.8908							Well_3
2465.0908							Well_3
2465.2908							Well_3
2465.4908							Well_3
2465.6908							Well_3
2465.8908							Well_3
2466.0908							Well_3
2466.2908							Well_3
2466.4908							Well_3
2466.6908							Well_3
2466.8908							Well_3
2467.0908							Well_3
2467.2908							Well_3
2467.4908							Well_3
2467.6908							Well_3
2467.8908							Well_3
2468.0908							Well_3
2468.2908							Well_3
2468.4908							Well_3
2468.6908							Well_3
2468.8908							Well_3
2469.0908							Well_3
2469.2908							Well_3
2469.4908							Well_3
2469.6908							Well_3
2469.8908							Well_3
2470.0908							Well_3
2470.2908							Well_3
2470.4908							Well_3
2470.6908							Well_3
2470.8908							Well_3
2471.0908							Well_3
2471.2908							Well_3
2471.4908							Well_3
2471.6908							Well_3
2471.8908							Well_3
2472.0908							Well_3
2472.2908							Well_3
2472.4908							Well_3
2472.6908							Well_3
2472.8908							Well_3
2473.0908							Well_3
2473.2908							Well_3
2473.4908							Well_3
2473.6908							Well_3
2473.8908							Well_3
2474.0908							Well_3
2474.2908							Well_3
2474.4908							Well_3
2474.6908							Well_3
2474.8908							Well_3
2475.0908							Well_3
2475.2908							Well_3
2475.4908							Well_3
2475.6908							Well_3
2475.8908							Well_3
2476.0908							Well_3
2476.2908							Well_3
2476.4908							Well_3
2476.6908							Well_3
