MD	DTCO	GR	RHOB	PHIE	PHI_ALT	DTS	WELL
5356.8732	56.301628113	35.222240448	2.5494842529	0.0604763776	0.0142374681	99.727600098	Well_8
5357.0732	56.467010498	33.274864197	2.5341289043	0.0643430427	0.0096559925	99.880096436	Well_8
5357.2732	56.208873749	31.838813782	2.4863033295	0.0595414713	0.0030182011	99.540496826	Well_8
5357.4732	56.040405273	31.543107986	2.4434015751	0.0588000007	-0.003858166	99.671302795	Well_8
5357.6732	56.262466431	31.232629776	2.4728672504	0.0583632551	-0.008674252	99.840103149	Well_8
5357.8732	56.806430817	31.309116364	2.5189805031	0.0563330725	-0.003096904	100.33450317	Well_8
5358.0732	56.992294312	33.214214325	2.5399985313	0.0536826774	-0.005173183	101.26540375	Well_8
5358.2732	58.052192688	34.40656662	2.5204753876	0.0526640415	0.0003843399	102.42220306	Well_8
5358.4732	58.75246048	33.930065155	2.4926812649	0.0567094497	0.0117746228	103.86360168	Well_8
5358.6732	59.821853638	32.599639893	2.5141086578	0.0611236207	0.0218170658	105.75180054	Well_8
5358.8732	61.220542908	36.032367706	2.5453476906	0.0611060373	0.0315213688	107.80290222	Well_8
5359.0732	61.746875763	42.716678619	2.5524044037	0.0586942248	0.0207208879	110.18240356	Well_8
5359.2732	62.599433899	45.443328857	2.5519156456	0.0558307096	-0.00107761	111.7390976	Well_8
5359.4732	62.614833832	37.405712128	2.5465388298	0.0546118096	-0.006138597	111.83229828	Well_8
5359.6732	62.604000092	31.014858246	2.53860569	0.0545593165	0.0033885615	111.90450287	Well_8
5359.8732	63.034660339	32.299289703	2.5371229649	0.0574149601	0.0079889428	113.35949707	Well_8
5360.0732	64.329711914	37.096801758	2.5327489376	0.0595664047	0.0236810353	114.88130188	Well_8
5360.2732	64.743003845	41.061889648	2.5300695896	0.0588036738	0.018654028	115.7589035	Well_8
5360.4732	65.61618042	39.67382431	2.5241770744	0.0590503924	0.0108780982	115.79350281	Well_8
5360.6732	65.337112427	35.314025879	2.529582262	0.0613664053	0.0085994434	114.9375	Well_8
5360.8732	64.489067078	33.098201752	2.5512666702	0.0590000004	0.0049579567	113.72570038	Well_8
5361.0732	63.987052917	32.795070648	2.5598394871	0.0560440943	0.0074756891	112.70429993	Well_8
5361.2732	63.659679413	29.684913635	2.5552227497	0.0521385856	0.018195929	112.64019775	Well_8
5361.4732	63.938205719	26.344467163	2.557502985	0.0513191596	0.0306728389	113.60369873	Well_8
5361.6732	65.927993774	25.678834915	2.5753848553	0.0586944893	0.048861783	115.52709961	Well_8
5361.8732	66.810569763	29.042984009	2.6046798229	0.0723136514	0.0477967709	117.72109985	Well_8
5362.0732	68.636199951	32.384914398	2.6099934578	0.0892540663	0.0330242738	118.84470367	Well_8
5362.2732	68.096588135	35.864650726	2.5953819752	0.1035574824	0.0017472737	116.92209625	Well_8
5362.4732	65.703651428	41.762840271	2.5900871754	0.108315222	-0.028631039	113.46869659	Well_8
5362.6732	62.760604858	42.232845306	2.5916442871	0.1027028859	-0.032973476	109.45449829	Well_8
5362.8732	59.883506775	38.328639984	2.592956543	0.0925007835	-0.023506263	106.70619965	Well_8
5363.0732	58.968048096	32.212005615	2.5904238224	0.0828706026	-0.010224655	105.66560364	Well_8
5363.2732	58.67881012	28.508440018	2.5855209827	0.0801417306	-0.019674715	105.23549652	Well_8
5363.4732	59.190441132	28.855106354	2.5836968422	0.0858503953	-0.020358635	105.49349976	Well_8
5363.6732	59.58821106	27.165031433	2.5817408562	0.0897590518	-0.016736707	105.02339935	Well_8
5363.8732	59.761600494	26.340442657	2.5803644657	0.0885889754	-0.021531476	104.04380035	Well_8
5364.0732	59.653625488	30.132724762	2.5829732418	0.0889259875	-0.023694398	103.08470154	Well_8
5364.2732	59.253440857	35.071346283	2.5784063339	0.0931792632	-0.014171333	102.27079773	Well_8
5364.4732	59.076839447	38.033950806	2.5587432384	0.092493698	-0.010059749	101.93260193	Well_8
5364.6732	59.182701111	35.815929413	2.5113039017	0.0848417282	-0.008045254	102.32369995	Well_8
5364.8732	59.452308655	31.980606079	2.4771108627	0.0796018392	-0.004483561	103.57009888	Well_8
5365.0732	60.68516922	31.643278122	2.4664859772	0.0751766413	0.0060808286	105.50669861	Well_8
5365.2732	61.232437134	34.526168823	2.5066423416	0.0674850345	0.0131648965	107.65940094	Well_8
5365.4732	63.920307159	39.572292328	2.5450649261	0.0573601052	0.0294389818	110.07820129	Well_8
5365.6732	64.900146484	42.535923004	2.5573906898	0.0470136479	0.0323682129	112.02690125	Well_8
5365.8732	65.905845642	44.012535095	2.5639677048	0.0416149609	0.0291260537	113.53250122	Well_8
5366.0732	66.008979797	46.176242828	2.5851919651	0.0427346453	0.025429761	114.89219666	Well_8
5366.2732	66.144065857	43.264751434	2.5898315907	0.0534370095	0.0261294153	116.44339752	Well_8
5366.4732	66.209159851	34.288600922	2.5704181194	0.0768220425	0.0168641526	117.22599792	Well_8
5366.6732	66.31186676	33.108726501	2.5790350437	0.1011968479	-0.016375877	116.85749817	Well_8
5366.8732	66.13369751	39.585510254	2.6020469666	0.1130467206	-0.034078244	115.69439697	Well_8
5367.0732	65.067070007	42.295566559	2.6227881908	0.1108409464	-0.012451202	114.21869659	Well_8
5367.2732	64.046768188	39.597499847	2.6102881432	0.0974551216	0.0072416482	112.94950104	Well_8
5367.4732	63.927326202	39.188098907	2.5857431889	0.0877742767	0.0109443478	112.98989868	Well_8
5367.6732	64.328575134	38.173252106	2.5608644485	0.0883960649	0.0061598788	113.21289825	Well_8
5367.8732	64.411071777	33.675079346	2.5352194309	0.0964147002	-0.007116826	113.03299713	Well_8
5368.0732	63.909442902	31.320526123	2.4984741211	0.1041942239	-0.02483261	111.77010345	Well_8
5368.2732	62.599132538	32.444728851	2.490311861	0.1035755873	-0.02754217	109.13140106	Well_8
5368.4732	61.041057587	32.010372162	2.4973750114	0.0965055153	-0.010507758	106.20410156	Well_8
5368.6732	60.719070435	36.068531036	2.526081562	0.0886850357	0.001526361	104.53630066	Well_8
5368.8732	60.603969574	40.918357849	2.5547378063	0.0872440934	0.0034376269	104.68440247	Well_8
5369.0732	61.551979065	36.20476532	2.5537984371	0.0889304504	0.0126709333	106.0802002	Well_8
5369.2732	62.560031891	33.457447052	2.5488188267	0.0889965892	0.0220403913	107.78720093	Well_8
5369.4732	62.862495422	34.478054047	2.5640480518	0.0932661444	0.0163110513	109.05680084	Well_8
5369.6732	62.59859848	36.166893005	2.6040692329	0.098067455	0.0046212827	108.94020081	Well_8
5369.8732	62.42099762	41.696468353	2.6236481667	0.1012653559	0.0013425561	108.34500122	Well_8
5370.0732	61.617073059	45.245384216	2.6314456463	0.1044314951	-0.010141395	107.25509644	Well_8
5370.2732	61.378864288	46.615139008	2.6340239048	0.103250131	-0.007950505	105.54319763	Well_8
